"Date","Description","ChkRef","Amount","Balance"
04/09/2024,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 224246,,-$28.57,"$4,938.95"
04/12/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 145762,,-$12.38,"$4,926.57"
04/12/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31401158 001158,,-$91.84,"$4,834.73"
04/15/2024,TELCOE FEDERAL C PAYROLL 06997700020449X,,$586.77,"$5,421.50"
04/15/2024,XX7834 POS PURCHASE JIMMY JOHNS - 8 SPRINGDALE AR 00000000 024392,,-$11.84,"$5,409.66"
04/15/2024,XX7834 POS PURCHASE COSTCO WHSE #144 LITTLE ROCK AR 99144213 791669,,-$17.48,"$5,392.18"
04/15/2024,XX7834 POS PURCHASE GENESIS AUTO WAS LITTLE ROCK AR 00010001 005476,,-$18.00,"$5,374.18"
04/15/2024,XX7834 POS PURCHASE PDQ NORTH RUSSELLVILLE AR 0002QI15 410570040664,,-$26.53,"$5,347.65"
04/16/2024,CAPITAL ONE CRCARDPMT 3XB6KQUBA58RKXU,,-$119.19,"$5,228.46"
04/18/2024,XX7834 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 005202,,-$7.99,"$5,220.47"
04/19/2024,XX7834 POS PURCHASE 3488 GREAT CLIPS LITTLE ROCK AR 03192463 062226,,-$26.00,"$5,194.47"
04/22/2024,XX7834 POS PURCHASE AMAZON MAR* 114- HTTPSAMAZON.C WA ETEST1UC 050677,,-$13.96,"$5,180.51"
04/22/2024,XX7834 POS PURCHASE KOHLS #0696 LITTLE ROCK AR 09164892 064892,,-$59.71,"$5,120.80"
04/23/2024,XX7834 POS PURCHASE AMAZON RET* 114- WWW.AMAZON.CO WA HLDSODZP 036341,,-$19.32,"$5,101.48"
04/24/2024,XX7834 POS PURCHASE COSTCO WHSE #144 LITTLE ROCK AR 99144213 547753,,-$17.53,"$5,083.95"
04/25/2024,CONSUMER MOBILE DEPOSIT,,$100.00,"$5,183.95"
04/25/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31404426 004426,,-$100.39,"$5,083.56"
04/26/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 579849,,-$25.86,"$5,057.70"
04/29/2024,ONLINE BANKING TRANSFER FROM x3799 04/27/24,,$35.00,"$5,092.70"
04/29/2024,ONLINE BANKING TRANSFER FROM x3799 04/27/24,,$40.00,"$5,132.70"
04/29/2024,ONLINE BANKING TRANSFER FROM x3799 04/28/24,,$85.00,"$5,217.70"
04/29/2024,XX7834 POS PURCHASE Love's #0267 Out MORRILTON AR 001 672128,,-$31.35,"$5,186.35"
04/29/2024,XX7834 POS PURCHASE CHICK-FIL-A #016 479-636-4664 AR 1 098028,,-$37.36,"$5,148.99"
04/29/2024,XX7834 POS PURCHASE JIMS RAZORBACK P LITTLE ROCK AR 03617028 011683,,-$39.32,"$5,109.67"
04/29/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32167618 067618,,-$80.78,"$5,028.89"
04/30/2024,TELCOE FEDERAL C PAYROLL 07197900003238X,,$586.79,"$5,615.68"
04/30/2024,XX7834 POS PURCHASE MURPHY EXPRESS 8 LITTLE ROCK AR 33670601 065342,,-$5.47,"$5,610.21"
05/01/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 001327,,-$47.98,"$5,562.23"
05/03/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 017890,,-$36.28,"$5,525.95"
05/03/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32931716 031716,,-$75.40,"$5,450.55"
05/06/2024,XX7834 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 036203,,-$25.00,"$5,425.55"
05/07/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 056799,,-$8.43,"$5,417.12"
05/07/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 013771,,-$20.07,"$5,397.05"
05/07/2024,XX7834 POS PURCHASE AR.GOV/STPAYMENT EGOV.COM AR 00000965 001547,,-$42.00,"$5,355.05"
05/09/2024,XX7834 POS PURCHASE 1067 GREAT CLIPS LITTLE ROCK AR 03190274 008569,,-$25.00,"$5,330.05"
05/09/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 393544,,-$26.91,"$5,303.14"
05/09/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 33646503 046503,,-$60.27,"$5,242.87"
05/10/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32435346 035346,,-$53.03,"$5,189.84"
05/13/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 096369,,-$8.93,"$5,180.91"
05/13/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 001347,,-$12.05,"$5,168.86"
05/13/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 33371243 071243,,-$14.66,"$5,154.20"
05/13/2024,XX7834 POS PURCHASE CIRCLE K DEALER LITTLE ROCK AR 101 783447,,-$20.93,"$5,133.27"
05/13/2024,XX7834 POS PURCHASE COSTCO WHSE #144 LITTLE ROCK AR 99144213 322576,,-$47.21,"$5,086.06"
05/13/2024,XX7834 POS PURCHASE AJI RAMEN BAR. LITTLE ROCK AR 00015555 063915,,-$51.98,"$5,034.08"
05/14/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 30644048 044048,,-$31.55,"$5,002.53"
05/15/2024,Deposit,,$100.00,"$5,102.53"
05/15/2024,TELCOE FEDERAL C PAYROLL 07391700005961X,,$526.42,"$5,628.95"
05/15/2024,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 154246,,-$5.82,"$5,623.13"
05/15/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31447615 047615,,-$79.24,"$5,543.89"
05/15/2024,CAPITAL ONE CRCARDPMT 3XHII0XBQV0KLOI,,-$117.51,"$5,426.38"
05/16/2024,XX7834 POS PURCHASE JERSEY MIKES ONL https://prod. NJ 00007671 013025,,-$11.34,"$5,415.04"
05/16/2024,XX7834 POS PURCHASE SHELL OIL1000554 LITTLE ROCK AR 00000000 017294,,-$12.88,"$5,402.16"
05/20/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 000114,,-$35.70,"$5,366.46"
05/20/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 33982429 082429,,-$60.40,"$5,306.06"
05/21/2024,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 264443,,-$13.57,"$5,292.49"
05/21/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31160481 060481,,-$68.43,"$5,224.06"
05/21/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 013043,,-$74.74,"$5,149.32"
05/28/2024,XX7834 POS PURCHASE MURPHY EXPRESS 8 LITTLE ROCK AR 33670601 978987,,-$5.75,"$5,143.57"
05/28/2024,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 315481,,-$5.99,"$5,137.58"
05/28/2024,XX7834 POS PURCHASE Subway 24844 Little Rock AR 75499498 095005,,-$12.19,"$5,125.39"
05/28/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 047870,,-$16.05,"$5,109.34"
05/28/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31176933 076933,,-$39.44,"$5,069.90"
05/28/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 017881,,-$40.16,"$5,029.74"
05/28/2024,XX7834 POS PURCHASE DOMINO'S 9616 501-247-7856 AR 11068243 068243,,-$48.25,"$4,981.49"
05/31/2024,TELCOE FEDERAL C PAYROLL 07572000009410X,,$586.77,"$5,568.26"
05/31/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32010552 010552,,-$32.86,"$5,535.40"
05/31/2024,XX7834 POS PURCHASE COSTCO LIQUOR #1 LITTLE ROCK AR 99161813 628538,,-$39.06,"$5,496.34"
06/03/2024,XX7834 POS PURCHASE WL *Steam Purcha 425-9522985 WA 00000007 005924,,-$25.00,"$5,471.34"
06/03/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 33085157 085157,,-$53.71,"$5,417.63"
06/03/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 34789757 089757,,-$67.28,"$5,350.35"
06/05/2024,VENMO CASHOUT 1034824228647,,$650.00,"$6,000.35"
06/07/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 016594,,-$5.42,"$5,994.93"
06/10/2024,ONLINE BANKING TRANSFER FROM x3799 06/08/24,,$60.00,"$6,054.93"
06/10/2024,XX7834 POS PURCHASE JIMS RAZORBACK P LITTLE ROCK AR 03617028 001241,,-$60.40,"$5,994.53"
06/11/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 040441,,-$5.42,"$5,989.11"
06/13/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 094975,,-$18.21,"$5,970.90"
06/13/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31241182 041182,,-$29.34,"$5,941.56"
06/14/2024,TELCOE FEDERAL C PAYROLL 07753000000134X,,$526.42,"$6,467.98"
06/17/2024,XX7834 PURCHASE RETURN Prime Medical Gr Little Rock AR 05607759 042305,,$96.71,"$6,564.69"
06/17/2024,ONLINE BANKING TRANSFER FROM x3799 06/15/24,,$150.00,"$6,714.69"
06/17/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 455250,,-$27.86,"$6,686.83"
06/17/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32276617 076617,,-$30.95,"$6,655.88"
06/17/2024,XX7834 POS PURCHASE COSTCO WHSE #144 LITTLE ROCK AR 99144213 303156,,-$46.40,"$6,609.48"
06/17/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 017262,,-$150.64,"$6,458.84"
06/17/2024,CAPITAL ONE CRCARDPMT 3XO245EPY0VWP8I,,-$49.95,"$6,408.89"
06/20/2024,XX7834 POS PURCHASE JERSEY MIKES 460 LITTLE ROCK AR 00008245 030489,,-$13.74,"$6,395.15"
06/20/2024,XX7834 POS PURCHASE HATLEY FAMILY DE LITTLE ROCK AR 07956657 417213002,,-$108.00,"$6,287.15"
06/21/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31756031 056031,,-$55.95,"$6,231.20"
06/24/2024,ONLINE BANKING TRANSFER FROM x3799 06/23/24,,$108.00,"$6,339.20"
06/24/2024,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 77665201 065201,,-$12.59,"$6,326.61"
06/26/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 000042,,-$9.09,"$6,317.52"
06/28/2024,TELCOE FEDERAL C PAYROLL 07906800031775X,,$526.42,"$6,843.94"
07/01/2024,XX7834 POS PURCHASE AMAZON.COM*RC40R SEATTLE WA 00000000 046528,,-$16.09,"$6,827.85"
07/01/2024,XX7834 POS PURCHASE CHICK-FIL-A #027 501-228-0404 AR 1 066548,,-$16.10,"$6,811.75"
07/01/2024,XX7834 POS PURCHASE AMAZON RET* 114- WWW.AMAZON.CO WA HLDSODZP 009852,,-$26.86,"$6,784.89"
07/01/2024,XX7834 POS PURCHASE CHICK-FIL-A #027 501-228-0404 AR 1 060231,,-$33.77,"$6,751.12"
07/01/2024,XX7834 POS PURCHASE QT 7210 INSIDE NORTH LITTLE AR 00000000 094884,,-$38.84,"$6,712.28"
07/01/2024,XX7834 POS PURCHASE OSCARS LIQUOR NORTH LITTLE AR 75480228 070046,,-$48.91,"$6,663.37"
07/02/2024,XX7834 POS PURCHASE JERSEY MIKES ONL https://prod. NJ 00007671 017229,,-$11.34,"$6,652.03"
07/03/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 081889,,-$9.09,"$6,642.94"
07/03/2024,XX7834 POS PURCHASE KROGER FUEL #562 LITTLE ROCK AR 99999999 920793,,-$57.63,"$6,585.31"
07/03/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32753524 053524,,-$142.71,"$6,442.60"
07/05/2024,ONLINE BANKING TRANSFER FROM x3799 07/04/24,,$220.00,"$6,662.60"
07/05/2024,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 044970,,-$2.99,"$6,659.61"
07/05/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 059493,,-$18.99,"$6,640.62"
07/08/2024,XX7834 POS PURCHASE AMAZON MKTPL*R79 Amzn.com/bill WA 00000000 097237,,-$47.29,"$6,593.33"
07/10/2024,ONLINE BANKING TRANSFER FROM x3799 07/10/24,,$200.00,"$6,793.33"
07/11/2024,XX7834 POS PURCHASE LOWE'S #236 CONWAY AR 001 419218237068,,-$194.66,"$6,598.67"
07/12/2024,XX7834 POS PURCHASE QT 7210 INSIDE NORTH LITTLE AR 00000000 081341,,-$6.85,"$6,591.82"
07/15/2024,VENMO CASHOUT 1035658786876,,$200.00,"$6,791.82"
07/15/2024,XX7834 POS PURCHASE QT 7210 OUTSIDE NORTH LITTLE AR 001 126879,,-$25.53,"$6,766.29"
07/15/2024,XX7834 POS PURCHASE OSCARS LIQUOR NORTH LITTLE AR 75480227 050100,,-$26.16,"$6,740.13"
07/15/2024,XX7834 POS PURCHASE QT 7210 INSIDE NORTH LITTLE AR 00000000 058496,,-$44.46,"$6,695.67"
07/15/2024,XX7834 POS PURCHASE WM SUPERCENTER # CONWAY AR 25750011 026063,,-$85.01,"$6,610.66"
07/15/2024,XX7834 POS PURCHASE CONWAY CORPORATI 501-548-3051 AR 00000000 055295,,-$202.24,"$6,408.42"
07/16/2024,ONLINE BANKING TRANSFER FROM x3799 07/16/24,,$202.24,"$6,610.66"
07/16/2024,CAPITAL ONE CRCARDPMT 3XUE0M0L9VW6C3M,,-$116.80,"$6,493.86"
07/18/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 031264,,-$12.82,"$6,481.04"
07/19/2024,XX7834 POS PURCHASE WM SUPERCENTER # CONWAY AR 25750024 305786,,-$92.93,"$6,388.11"
07/22/2024,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 053097,,-$4.99,"$6,383.12"
07/22/2024,XX7834 POS PURCHASE AMAZON MKTPL*RJ4 Amzn.com/bill WA 00000000 032438,,-$6.51,"$6,376.61"
07/22/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 075501,,-$16.44,"$6,360.17"
07/22/2024,XX7834 POS PURCHASE OSCARS LIQUOR NORTH LITTLE AR 75480228 080017,,-$71.99,"$6,288.18"
07/22/2024,XX7834 POS PURCHASE AMERICAN STRATEG 727-8218765 FL 00000000 072772,,-$130.92,"$6,157.26"
07/23/2024,XX7834 POS PURCHASE CINEMARK THEATRE LITTLE ROCK AR 00000000 033654,,-$13.00,"$6,144.26"
07/23/2024,XX7834 POS PURCHASE KOHLS #0696 LITTLE ROCK AR 09336524 036524,,-$52.14,"$6,092.12"
07/24/2024,XX7834 POS PURCHASE Wal-Mart Super C CONWAY AR 25750010 420677921746,,-$23.86,"$6,068.26"
07/25/2024,XX7834 POS PURCHASE 9249 GREAT CLIPS CONWAY AR 03190321 021711,,-$25.00,"$6,043.26"
07/25/2024,XX7834 POS PURCHASE QT 7210 INSIDE NORTH LITTLE AR 00000000 098459,,-$45.69,"$5,997.57"
07/26/2024,XX7834 POS PURCHASE DOMINO'S 5319 501-831-5692 AR 29621245 021245,,-$22.12,"$5,975.45"
07/26/2024,XX7834 POS PURCHASE West End Cigars Conway AR 00010001 108900,,-$38.05,"$5,937.40"
07/29/2024,XX7834 POS PURCHASE JIMMY JOHNS - 20 CONWAY AR 00000000 074829,,-$9.18,"$5,928.22"
07/29/2024,XX7834 POS PURCHASE DOLLAR-GENERAL # CONWAY AR 30273003 460405,,-$10.17,"$5,918.05"
07/29/2024,XX7834 POS PURCHASE PANERA BREAD #60 LITTLE ROCK AR 00000000 048975,,-$18.22,"$5,899.83"
07/29/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 059491,,-$22.86,"$5,876.97"
07/29/2024,XX7834 POS PURCHASE LOWE'S #236 CONWAY AR 001 420918559387,,-$27.17,"$5,849.80"
07/29/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 059714,,-$28.75,"$5,821.05"
07/29/2024,XX7834 POS PURCHASE WM SUPERCENTER # CONWAY AR 25750022 633619,,-$53.80,"$5,767.25"
07/29/2024,XX7834 POS PURCHASE LOWE'S #236 CONWAY AR 001 420916092727,,-$113.08,"$5,654.17"
07/30/2024,XX7834 POS PURCHASE WAL-MART #2575 CONWAY AR 24257501 100781,,-$191.14,"$5,463.03"
07/31/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 085251,,-$10.49,"$5,452.54"
08/01/2024,Stripe ZG Rent ACCTVERIFY ST-I8V0D4Z8D1B4,,$0.18,"$5,452.72"
08/01/2024,Stripe ZG Rent ACCTVERIFY ST-Q9A4U4F2Z2Q5,,$0.26,"$5,452.98"
08/01/2024,ONLINE BANKING TRANSFER FROM x3799 08/01/24,,$650.00,"$6,102.98"
08/01/2024,ONLINE BANKING TRANSFER FROM x3799 08/01/24,,$700.00,"$6,802.98"
08/01/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 082997,,-$12.82,"$6,790.16"
08/01/2024,XX7834 POS PURCHASE LAKE LIQUOR MAUMELLE AR 96698138 990452,,-$98.70,"$6,691.46"
08/01/2024,Stripe ZG Rental ACCTVERIFY ST-P0X6D3V1M8A3,,-$0.44,"$6,691.02"
08/01/2024,Stripe ZG Rental ZG -- Rent ST-H6W2H5Q4W7B5,,"-$1,700.00","$4,991.02"
08/05/2024,XX7834 POS PURCHASE WAL-MART #2575 CONWAY AR 24257501 258052,,-$11.08,"$4,979.94"
08/05/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 057139,,-$12.82,"$4,967.12"
08/05/2024,XX7834 POS PURCHASE WM SUPERCENTER # CONWAY AR 25750015 295657,,-$41.60,"$4,925.52"
08/05/2024,XX7834 POS PURCHASE KOHLS #0698 CONWAY AR 13204452 004452,,-$74.24,"$4,851.28"
08/06/2024,XX7834 MT DDA CREDIT CASH APP*RYAN MC San Francisco CA 00000000 062360,,"$1,155.00","$6,006.28"
08/07/2024,XX7834 MT DDA DEBIT CASH APP*EVAN PA 800-9691940 CA 00000000 018005,,-$32.00,"$5,974.28"
08/12/2024,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 042076,,-$6.99,"$5,967.29"
08/12/2024,XX7834 POS PURCHASE TST*STOBYS CONWA 501-327-5447 AR 00000000 073802,,-$10.45,"$5,956.84"
08/12/2024,XX7834 POS PURCHASE CIRCLE K #274179 LITTLE ROCK AR 97851102 849610,,-$12.62,"$5,944.22"
08/12/2024,XX7834 POS PURCHASE POPEYES #11657 CONWAY AR 00004432 023226,,-$13.06,"$5,931.16"
08/12/2024,XX7834 POS PURCHASE LOWE'S #3331 LITTLE ROCK AR 001 422219507380,,-$15.19,"$5,915.97"
08/12/2024,XX7834 POS PURCHASE Wal-Mart Super C CONWAY AR 25750008 422465212374,,-$20.53,"$5,895.44"
08/12/2024,XX7834 POS PURCHASE LAKE LIQUOR MAUMELLE AR 96746061 973527,,-$117.97,"$5,777.47"
08/14/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 040509,,-$12.82,"$5,764.65"
08/14/2024,XX7834 POS PURCHASE HONDA WORLD CONWAY AR RVIC9508 019885,,-$66.28,"$5,698.37"
08/15/2024,XX7834 POS PURCHASE 9249 GREAT CLIPS CONWAY AR 03190330 010566,,-$23.00,"$5,675.37"
08/15/2024,XX7834 POS PURCHASE Wal-Mart Super C CONWAY AR 25750022 422774150611,,-$30.10,"$5,645.27"
08/15/2024,CAPITAL ONE CRCARDPMT 3Y0XI2XUTCP6E9U,,-$436.83,"$5,208.44"
08/16/2024,XX7834 POS PURCHASE BUFFALO WILD ECO 501-205-1940 AR 00000000 001214,,-$22.13,"$5,186.31"
08/16/2024,XX7834 POS PURCHASE AMAZON MKTPL*RU5 Amzn.com/bill WA 00000000 057216,,-$31.53,"$5,154.78"
08/19/2024,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 027440,,-$5.36,"$5,149.42"
08/19/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 011711,,-$12.82,"$5,136.60"
08/19/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 013803,,-$27.93,"$5,108.67"
08/19/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 015949,,-$30.05,"$5,078.62"
08/19/2024,XX7834 POS PURCHASE SWEET 7 FAYETTEVILLE AR 00712024 050560,,-$45.61,"$5,033.01"
08/19/2024,XX7834 MT DDA DEBIT CASH APP*CLAUDIA 800-9691940 CA 00000000 060505,,-$140.00,"$4,893.01"
08/21/2024,XX7834 POS PURCHASE LAKE LIQUOR MAUMELLE AR 96746061 611808,,-$71.52,"$4,821.49"
08/22/2024,XX7834 POS PURCHASE AMAZON MKTPL*R45 Amzn.com/bill WA 00000000 036190,,-$20.65,"$4,800.84"
08/22/2024,XX7834 POS PURCHASE WM SUPERCENTER # CONWAY AR 25750016 226884,,-$50.51,"$4,750.33"
08/23/2024,XX7834 POS PURCHASE WM SUPERCENTER # CONWAY AR 25750027 551955,,-$21.54,"$4,728.79"
08/26/2024,ATM DEPOSIT,,$500.00,"$5,228.79"
08/26/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 012973,,-$12.82,"$5,215.97"
08/26/2024,XX7834 POS PURCHASE ZAXBY'S #63007 CONWAY AR 00000000 083379,,-$13.70,"$5,202.27"
08/26/2024,XX7834 POS PURCHASE West End Cigars Conway AR 00010001 468140,,-$18.97,"$5,183.30"
08/26/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369889 017170,,-$23.00,"$5,160.30"
08/26/2024,XX7834 POS PURCHASE CONWAY CORPORATI 501-548-3051 AR 00000000 072961,,-$302.34,"$4,857.96"
08/28/2024,XX7834 POS PURCHASE Store 855-8254275 AR 00000000 028303,,-$7.74,"$4,850.22"
08/28/2024,XX7834 POS PURCHASE LAKE LIQUOR MAUMELLE AR 96746061 647192,,-$69.45,"$4,780.77"
09/03/2024,ONLINE BANKING TRANSFER FROM x3799 09/01/24,,"$1,350.00","$6,130.77"
09/03/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 094868,,-$6.40,"$6,124.37"
09/03/2024,XX7834 POS PURCHASE Store 855-8254275 AR 00000000 075903,,-$7.74,"$6,116.63"
09/03/2024,XX7834 POS PURCHASE SONIC DRIVE IN # 501-730-0202 AR 3542002 038385,,-$11.05,"$6,105.58"
09/03/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 053900,,-$12.82,"$6,092.76"
09/03/2024,XX7834 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 009343,,-$60.00,"$6,032.76"
09/03/2024,Stripe ZG Rental ZG -- Rent ST-R9D4P3H3P5G9,,"-$1,700.00","$4,332.76"
09/06/2024,XX7834 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 002704,,-$25.00,"$4,307.76"
09/09/2024,XX7834 POS PURCHASE DD *DOORDASH STO 855-973-1040 CA 00000000 087199,,-$10.06,"$4,297.70"
09/09/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 054053,,-$13.46,"$4,284.24"
09/09/2024,XX7834 POS PURCHASE DOMINO'S 5319 501-831-5692 AR 43535959 035959,,-$15.49,"$4,268.75"
09/09/2024,XX7834 POS PURCHASE SONIC DRIVE IN # 501-730-0202 AR 3542002 066064,,-$15.82,"$4,252.93"
09/09/2024,XX7834 POS PURCHASE LAKE LIQUOR MAUMELLE AR 96698137 322762,,-$45.48,"$4,207.45"
09/09/2024,XX7834 POS PURCHASE Wal-Mart Super C CONWAY AR 25750023 425311000068,,-$61.69,"$4,145.76"
09/10/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 032532,,-$13.46,"$4,132.30"
09/11/2024,VENMO CASHOUT 1036836451234,,$58.42,"$4,190.72"
09/11/2024,XX7834 POS PURCHASE CONWAY CORPORATI 501-548-3051 AR 00000000 090506,,-$302.10,"$3,888.62"
09/16/2024,CONSUMER MOBILE DEPOSIT,,"$2,500.00","$6,388.62"
09/16/2024,XX7834 POS PURCHASE SONIC DRIVE IN # 999-999-9999 AR 1168002 011805,,-$12.00,"$6,376.62"
09/16/2024,XX7834 POS PURCHASE LEGACY WINE AND LITTLE ROCK AR 04369885 002363,,-$23.42,"$6,353.20"
09/16/2024,XX7834 POS PURCHASE KROGER FUEL #562 LITTLE ROCK AR 80562324 124986,,-$25.85,"$6,327.35"
09/16/2024,XX7834 POS PURCHASE TODDY TOBACCO & LITTLE ROCK AR 03500148 009353,,-$32.10,"$6,295.25"
09/16/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32343136 043136,,-$74.98,"$6,220.27"
09/16/2024,CAPITAL ONE CRCARDPMT 3Y7H2L8WB0YVPVM,,-$18.81,"$6,201.46"
09/17/2024,XX7834 POS PURCHASE ARA UCA MAIN CONWAY AR 00115502 077112,,-$3.31,"$6,198.15"
09/17/2024,XX7834 POS PURCHASE Wal-Mart Super C CONWAY AR 25750013 426045442943,,-$32.04,"$6,166.11"
09/18/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 098503,,-$6.73,"$6,159.38"
09/19/2024,ONLINE BANKING TRANSFER TO x3799 09/19/24,,"-$2,000.00","$4,159.38"
09/19/2024,XX7834 POS PURCHASE SONIC DRIVE IN # 501-730-0202 AR 3542002 052337,,-$7.18,"$4,152.20"
09/19/2024,XX7834 POS PURCHASE ZAXBY'S #63007 512-758-7634 AR 00000000 039564,,-$19.98,"$4,132.22"
09/20/2024,XX7834 POS PURCHASE Store Conway AR 75135609 053402,,-$6.09,"$4,126.13"
09/20/2024,XX7834 POS PURCHASE Store Conway AR 00000000 086902,,-$7.74,"$4,118.39"
09/20/2024,XX7834 POS PURCHASE KUM&GO 0158R CON CONWAY AR 00000000 091895,,-$8.24,"$4,110.15"
09/23/2024,XX7834 POS PURCHASE KUM&GO 0139R LIT LITTLE ROCK AR 00000000 058706,,-$11.92,"$4,098.23"
09/23/2024,XX7834 POS PURCHASE DAVIDS BURGERS B LITTLE ROCK AR 00001336 088745,,-$14.58,"$4,083.65"
09/23/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 28675137 075137,,-$67.64,"$4,016.01"
09/24/2024,ATM DEPOSIT,,$600.00,"$4,616.01"
09/24/2024,XX7834 POS PURCHASE WINGSTOP 320 224-402-1847 AR 320 001 025631,,-$18.88,"$4,597.13"
09/24/2024,XX7834 POS PURCHASE AMAZON MKTPL*MX4 Amzn.com/bill WA 00000000 053009,,-$39.11,"$4,558.02"
